event_family,event_label,event_date,analysis_start_date,target_end_date,actual_end_date,window_months,window_label,actual_horizon_days,sector,proxy_symbol,benchmark_symbol,signal_strength,signal_context,source,proxy_start_close,proxy_end_close,proxy_forward_return,benchmark_start_close,benchmark_end_close,benchmark_forward_return,excess_forward_return
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.42902000,0.040823466127,62.67316000,63.00189800,0.005245275649,0.035578190478
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.34494000,0.038124882049,62.67316000,62.31803000,-0.005666380952,0.043791263001
nbim_overweight_tech,NBIM Overweight Tech,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,34.84579000,0.118390747785,62.67316000,63.34957000,0.010792658293,0.107598089492
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,50.10339000,0.034671114557,62.67316000,63.00189800,0.005245275649,0.029425838907
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,49.84681000,0.029372552631,62.67316000,62.31803000,-0.005666380952,0.035038933583
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Consumer Discretionary,XLY,VT,0.00692500,sector_weight_change,swf_combined_signal_panel,48.42446000,52.79046000,0.090161046711,62.67316000,63.34957000,0.010792658293,0.079368388418
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,80.43724000,-0.007133038518,62.67316000,63.00189800,0.005245275649,-0.012378314167
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,78.32560000,-0.033197801438,62.67316000,62.31803000,-0.005666380952,-0.027531420486
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Health Care,XLV,VT,0.01685700,sector_weight_change,swf_combined_signal_panel,81.01512400,80.02192600,-0.012259414674,62.67316000,63.34957000,0.010792658293,-0.023052072967
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-03-28,2019-03-28,1,1m,28,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.42902000,0.040823466127,62.67316000,63.00189800,0.005245275649,0.035578190478
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-05-28,2019-05-28,3,3m,89,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,32.34494000,0.038124882049,62.67316000,62.31803000,-0.005666380952,0.043791263001
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2019-02-28,2019-02-28,2019-08-28,2019-08-28,6,6m,181,Technology,XLK,VT,0.01455500,sector_weight_change,swf_combined_signal_panel,31.15708000,34.84579000,0.118390747785,62.67316000,63.34957000,0.010792658293,0.107598089492
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-08-07,2019-08-07,2019-09-07,2019-09-09,1,1m,33,Technology,XLK,VT,0.76076441,consensus:no->yes,swf_signal_states,34.53383000,36.04906100,0.043876714514,63.50655000,65.51239000,0.031584773539,0.012291940975
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-08-07,2019-08-07,2019-11-07,2019-11-07,3,3m,92,Technology,XLK,VT,0.76076441,consensus:no->yes,swf_signal_states,34.53383000,38.40272000,0.112031882939,63.50655000,68.66880000,0.081286890880,0.030744992059
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-08-07,2019-08-07,2020-02-07,2020-02-07,6,6m,184,Technology,XLK,VT,0.76076441,consensus:no->yes,swf_signal_states,34.53383000,44.99342000,0.302879524223,63.50655000,72.30445000,0.138535316436,0.164344207787
pif_expanding,PIF Expanding,2019-08-07,2019-08-07,2019-09-07,2019-09-09,1,1m,33,,SPY,CASH,1.00000000,state_change:stable->expanding,swf_signal_states,260.77288000,270.03672300,0.035524564518,1.00000000,1.00000000,0.000000000000,0.035524564518
pif_expanding,PIF Expanding,2019-08-07,2019-08-07,2019-11-07,2019-11-07,3,3m,92,,SPY,CASH,1.00000000,state_change:stable->expanding,swf_signal_states,260.77288000,280.35664000,0.075098913660,1.00000000,1.00000000,0.000000000000,0.075098913660
pif_expanding,PIF Expanding,2019-08-07,2019-08-07,2020-02-07,2020-02-07,6,6m,184,,SPY,CASH,1.00000000,state_change:stable->expanding,swf_signal_states,260.77288000,303.68661000,0.164563623334,1.00000000,1.00000000,0.000000000000,0.164563623334
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-10-22,2019-10-22,2019-11-22,2019-11-22,1,1m,31,Consumer Discretionary,XLY,VT,0.12634318,consensus:no->yes,swf_signal_states,54.61947000,53.94244000,-0.012395396733,66.56374000,68.74774000,0.032810656372,-0.045206053105
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-10-22,2019-10-22,2020-01-22,2020-01-22,3,3m,92,Consumer Discretionary,XLY,VT,0.12634318,consensus:no->yes,swf_signal_states,54.61947000,57.55975000,0.053832085884,66.56374000,73.04676000,0.097395669174,-0.043563583289
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2019-10-22,2019-10-22,2020-04-22,2020-04-22,6,6m,183,Consumer Discretionary,XLY,VT,0.12634318,consensus:no->yes,swf_signal_states,54.61947000,50.30968000,-0.078905745515,66.56374000,59.10387000,-0.112071076535,0.033165331020
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2019-10-22,2019-10-22,2019-11-22,2019-11-22,1,1m,31,Technology,XLK,VT,0.13397318,consensus:yes->no,swf_signal_states,36.17855000,38.82872000,0.073252521176,66.56374000,68.74774000,0.032810656372,0.040441864804
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2019-10-22,2019-10-22,2020-01-22,2020-01-22,3,3m,92,Technology,XLK,VT,0.13397318,consensus:yes->no,swf_signal_states,36.17855000,43.97341000,0.215455290497,66.56374000,73.04676000,0.097395669174,0.118059621323
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2019-10-22,2019-10-22,2020-04-22,2020-04-22,6,6m,183,Technology,XLK,VT,0.13397318,consensus:yes->no,swf_signal_states,36.17855000,39.85233000,0.101545805457,66.56374000,59.10387000,-0.112071076535,0.213616881992
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2020-02-05,2020-02-05,2020-03-05,2020-03-05,1,1m,29,Technology,XLK,VT,0.48026007,consensus:no->yes,swf_signal_states,44.99793000,40.99461000,-0.088966759138,72.66677000,66.11854000,-0.090113128738,0.001146369601
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2020-02-05,2020-02-05,2020-05-05,2020-05-05,3,3m,90,Technology,XLK,VT,0.48026007,consensus:no->yes,swf_signal_states,44.99793000,41.64452000,-0.074523650310,72.66677000,60.49675000,-0.167477101294,0.092953450984
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2020-02-05,2020-02-05,2020-08-05,2020-08-05,6,6m,182,Technology,XLK,VT,0.48026007,consensus:no->yes,swf_signal_states,44.99793000,52.20833000,0.160238482081,72.66677000,71.86651000,-0.011012736633,0.171251218715
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2020-02-05,2020-02-05,2020-03-05,2020-03-05,1,1m,29,Consumer Discretionary,XLY,VT,0.57263007,consensus:yes->no,swf_signal_states,58.29087000,52.55024000,-0.098482489625,72.66677000,66.11854000,-0.090113128738,-0.008369360887
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2020-02-05,2020-02-05,2020-05-05,2020-05-05,3,3m,90,Consumer Discretionary,XLY,VT,0.57263007,consensus:yes->no,swf_signal_states,58.29087000,51.60832000,-0.114641452426,72.66677000,60.49675000,-0.167477101294,0.052835648868
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2020-02-05,2020-02-05,2020-08-05,2020-08-05,6,6m,182,Consumer Discretionary,XLY,VT,0.57263007,consensus:yes->no,swf_signal_states,58.29087000,63.85578000,0.095467952357,72.66677000,71.86651000,-0.011012736633,0.106480688990
nbim_overweight_tech,NBIM Overweight Tech,2020-02-26,2020-02-26,2020-03-26,2020-03-26,1,1m,29,Technology,XLK,VT,0.01949900,sector_weight_change,swf_combined_signal_panel,41.83860000,37.53570000,-0.102845219486,68.09802700,56.69075000,-0.167512591811,0.064667372325
nbim_overweight_tech,NBIM Overweight Tech,2020-02-26,2020-02-26,2020-05-26,2020-05-26,3,3m,90,Technology,XLK,VT,0.01949900,sector_weight_change,swf_combined_signal_panel,41.83860000,43.95658000,0.050622630776,68.09802700,63.65510000,-0.065243109026,0.115865739802
