event_family,event_date,sector,window_months,check_name,status,detail
cross_fund_consensus_gained,2024-11-15,Financials,1,date_order_valid,pass,2024-11-15 -> 2024-12-16
cross_fund_consensus_gained,2024-11-15,Financials,3,date_order_valid,pass,2024-11-15 -> 2025-02-18
cross_fund_consensus_gained,2024-11-15,Financials,6,date_order_valid,pass,2024-11-15 -> 2025-05-15
cross_fund_consensus_gained,2024-11-15,Technology,1,date_order_valid,pass,2024-11-15 -> 2024-12-16
cross_fund_consensus_gained,2024-11-15,Technology,3,date_order_valid,pass,2024-11-15 -> 2025-02-18
cross_fund_consensus_gained,2024-11-15,Technology,6,date_order_valid,pass,2024-11-15 -> 2025-05-15
pif_expanding,2024-11-15,,1,date_order_valid,pass,2024-11-15 -> 2024-12-16
pif_expanding,2024-11-15,,3,date_order_valid,pass,2024-11-15 -> 2025-02-18
pif_expanding,2024-11-15,,6,date_order_valid,pass,2024-11-15 -> 2025-05-15
cross_fund_consensus_lost,2025-02-18,Financials,1,date_order_valid,pass,2025-02-18 -> 2025-03-18
cross_fund_consensus_lost,2025-02-18,Financials,3,date_order_valid,pass,2025-02-18 -> 2025-05-19
cross_fund_consensus_lost,2025-02-18,Financials,6,date_order_valid,pass,2025-02-18 -> 2025-08-18
cross_fund_consensus_lost,2025-02-18,Technology,1,date_order_valid,pass,2025-02-18 -> 2025-03-18
cross_fund_consensus_lost,2025-02-18,Technology,3,date_order_valid,pass,2025-02-18 -> 2025-05-19
cross_fund_consensus_lost,2025-02-18,Technology,6,date_order_valid,pass,2025-02-18 -> 2025-08-18
nbim_overweight_tech,2025-02-26,Technology,1,date_order_valid,pass,2025-02-26 -> 2025-03-26
nbim_overweight_tech,2025-02-26,Technology,3,date_order_valid,pass,2025-02-26 -> 2025-05-27
nbim_overweight_tech,2025-02-26,Technology,6,date_order_valid,pass,2025-02-26 -> 2025-08-26
nbim_positive_industry_weight_change,2025-02-26,Consumer Discretionary,1,date_order_valid,pass,2025-02-26 -> 2025-03-26
nbim_positive_industry_weight_change,2025-02-26,Consumer Discretionary,3,date_order_valid,pass,2025-02-26 -> 2025-05-27
nbim_positive_industry_weight_change,2025-02-26,Consumer Discretionary,6,date_order_valid,pass,2025-02-26 -> 2025-08-26
nbim_positive_industry_weight_change,2025-02-26,Technology,1,date_order_valid,pass,2025-02-26 -> 2025-03-26
nbim_positive_industry_weight_change,2025-02-26,Technology,3,date_order_valid,pass,2025-02-26 -> 2025-05-27
nbim_positive_industry_weight_change,2025-02-26,Technology,6,date_order_valid,pass,2025-02-26 -> 2025-08-26
cross_fund_consensus_gained,2025-05-16,Technology,1,date_order_valid,pass,2025-05-16 -> 2025-06-16
cross_fund_consensus_gained,2025-05-16,Technology,3,date_order_valid,pass,2025-05-16 -> 2025-08-18
cross_fund_consensus_gained,2025-05-16,Technology,6,date_order_valid,pass,2025-05-16 -> 2025-11-17
nbim_positive_industry_weight_change,2025-08-13,Financials,1,date_order_valid,pass,2025-08-13 -> 2025-09-15
nbim_positive_industry_weight_change,2025-08-13,Financials,3,date_order_valid,pass,2025-08-13 -> 2025-11-13
nbim_positive_industry_weight_change,2025-08-13,Financials,6,date_order_valid,pass,2025-08-13 -> 2026-02-13
cross_fund_consensus_lost,2025-08-15,Consumer Discretionary,1,date_order_valid,pass,2025-08-15 -> 2025-09-15
cross_fund_consensus_lost,2025-08-15,Consumer Discretionary,3,date_order_valid,pass,2025-08-15 -> 2025-11-17
cross_fund_consensus_lost,2025-08-15,Consumer Discretionary,6,date_order_valid,pass,2025-08-15 -> 2026-02-17
cross_fund_consensus_lost,2025-08-15,Technology,1,date_order_valid,pass,2025-08-15 -> 2025-09-15
cross_fund_consensus_lost,2025-08-15,Technology,3,date_order_valid,pass,2025-08-15 -> 2025-11-17
cross_fund_consensus_lost,2025-08-15,Technology,6,date_order_valid,pass,2025-08-15 -> 2026-02-17
pif_contracting,2025-08-15,,1,date_order_valid,pass,2025-08-15 -> 2025-09-15
