period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Materials,0.01914956,0.03856172,0.01941216,1,0,1,0,4
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Real Estate,0.00299869,0.01409846,0.01109977,1,0,0,0,2
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Technology,0.06884893,0.10864703,0.03979810,6,0,1,0,3
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Utilities,0.05598349,0.06825951,0.01227602,1,0,0,0,2
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Communication Services,0.20294967,0.21242944,0.00947977,0,0,2,0,3
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Consumer Discretionary,0.48449769,0.45219458,-0.03230311,1,1,0,0,5
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Consumer Staples,0.01441960,0.01609886,0.00167926,0,0,0,0,1
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Financials,0.04059296,0.04589193,0.00529897,0,0,0,0,4
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Health Care,0.00893565,0.00560515,-0.00333050,0,0,0,0,3
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Industrials,0.01903769,0.01937012,0.00033243,0,1,0,0,3
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Materials,0.03856172,0.04124859,0.00268687,0,0,0,0,4
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Real Estate,0.01409846,0.01330255,-0.00079591,0,0,0,0,2
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Technology,0.10864703,0.12152022,0.01287319,0,0,0,0,3
2022-06-30->2022-09-30,2022-06-30,2022-09-30,2022-11-14,2022-11-15,Utilities,0.06825951,0.07233856,0.00407905,0,0,0,0,2
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Communication Services,0.21242944,0.25211925,0.03968981,0,0,1,0,3
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Consumer Discretionary,0.45219458,0.33033808,-0.12185650,0,0,1,1,5
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Consumer Staples,0.01609886,0.01894118,0.00284232,0,0,0,0,1
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Financials,0.04589193,0.05739889,0.01150696,0,1,0,0,4
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Health Care,0.00560515,0.00483096,-0.00077419,1,1,0,0,3
