as_of_date,public_date,trade_date,report_type,common_sector,holding_count,raw_industry_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2023-12-31,2024-02-27,2024-02-28,annual,Technology,1083,1,245074415242.000000,0.22269500,1.09532800,1.05287200
2023-12-31,2024-02-27,2024-02-28,annual,Utilities,275,1,25857879755.000000,0.02349700,0.89356400,0.87832700
2024-06-30,2024-08-14,2024-08-15,half_year,Communication Services,214,1,36520374926.000000,0.03015400,0.96822400,0.94378500
2024-06-30,2024-08-14,2024-08-15,half_year,Consumer Discretionary,1518,1,163898773073.000000,0.13532800,0.98926900,0.95066500
2024-06-30,2024-08-14,2024-08-15,half_year,Consumer Staples,572,1,61277878148.000000,0.05059600,0.91145100,0.89379400
2024-06-30,2024-08-14,2024-08-15,half_year,Energy,216,1,43529138716.000000,0.03594100,0.87833300,0.87064800
2024-06-30,2024-08-14,2024-08-15,half_year,Financials,1072,1,180148871728.000000,0.14874500,1.04287300,1.02813400
2024-06-30,2024-08-14,2024-08-15,half_year,Health Care,827,1,133231936429.000000,0.11000700,0.96012100,0.93349500
2024-06-30,2024-08-14,2024-08-15,half_year,Industrials,1739,1,152190763018.000000,0.12566100,1.07776300,1.04997700
2024-06-30,2024-08-14,2024-08-15,half_year,Materials,647,1,42861984585.000000,0.03539000,1.03816100,1.01251900
2024-06-30,2024-08-14,2024-08-15,half_year,Real Estate,637,1,60066684119.000000,0.04959600,1.29617000,1.28686000
2024-06-30,2024-08-14,2024-08-15,half_year,Technology,1050,1,309384647602.000000,0.25545200,1.09271400,1.04796200
2024-06-30,2024-08-14,2024-08-15,half_year,Utilities,271,1,28013878662.000000,0.02313000,0.85760100,0.84774900
2024-12-31,2025-02-25,2025-02-26,annual,Communication Services,210,1,36805564927.000000,0.02862400,0.90176200,0.87676200
2024-12-31,2025-02-25,2025-02-26,annual,Consumer Discretionary,1472,1,183400008738.000000,0.14263000,1.00078100,0.96484400
2024-12-31,2025-02-25,2025-02-26,annual,Consumer Staples,572,1,59309363538.000000,0.04612500,0.92124100,0.90398600
2024-12-31,2025-02-25,2025-02-26,annual,Energy,211,1,40401420663.000000,0.03142000,0.91184800,0.90028400
2024-12-31,2025-02-25,2025-02-26,annual,Financials,1062,1,197686814418.000000,0.15374100,1.05715600,1.04149700
2024-12-31,2025-02-25,2025-02-26,annual,Health Care,812,1,126313700993.000000,0.09823400,0.94246300,0.91384200
2024-12-31,2025-02-25,2025-02-26,annual,Industrials,1735,1,162667017609.000000,0.12650600,1.10869700,1.08055900
2024-12-31,2025-02-25,2025-02-26,annual,Materials,628,1,39521759400.000000,0.03073600,1.05092400,1.01928300
2024-12-31,2025-02-25,2025-02-26,annual,Real Estate,634,1,62811616191.000000,0.04884900,1.30441600,1.29630900
2024-12-31,2025-02-25,2025-02-26,annual,Technology,1055,1,347235729038.000000,0.27004500,1.06320400,1.01318500
2024-12-31,2025-02-25,2025-02-26,annual,Utilities,268,1,29690044568.000000,0.02309000,0.90861900,0.89358200
2025-06-30,2025-08-12,2025-08-13,half_year,Communication Services,208,1,40141924524.000000,0.02892200,0.89879800,0.87264400
2025-06-30,2025-08-12,2025-08-13,half_year,Consumer Discretionary,1429,1,189147731898.000000,0.13628100,0.99181200,0.96150500
2025-06-30,2025-08-12,2025-08-13,half_year,Consumer Staples,559,1,61029989574.000000,0.04397200,0.87776400,0.86277300
2025-06-30,2025-08-12,2025-08-13,half_year,Energy,198,1,39869570700.000000,0.02872600,0.82484800,0.80843400
2025-06-30,2025-08-12,2025-08-13,half_year,Financials,1066,1,232057896710.000000,0.16719800,1.03035600,1.01531900
2025-06-30,2025-08-12,2025-08-13,half_year,Health Care,767,1,126094154938.000000,0.09085100,0.94704000,0.92213800
2025-06-30,2025-08-12,2025-08-13,half_year,Industrials,1672,1,181945791153.000000,0.13109200,1.05879200,1.03005400
2025-06-30,2025-08-12,2025-08-13,half_year,Materials,613,1,42573072149.000000,0.03067400,1.02093000,0.98052200
2025-06-30,2025-08-12,2025-08-13,half_year,Real Estate,601,1,64984792495.000000,0.04682200,1.30517500,1.29427600
2025-06-30,2025-08-12,2025-08-13,half_year,Technology,1007,1,376093487523.000000,0.27097500,1.04930500,1.00649500
2025-06-30,2025-08-12,2025-08-13,half_year,Utilities,254,1,33986212757.000000,0.02448700,0.86157500,0.85342500
2025-12-31,2026-02-27,2026-03-02,annual,Communication Services,180,1,44012389209.000000,0.02924000,0.90316700,0.85833300
2025-12-31,2026-02-27,2026-03-02,annual,Consumer Discretionary,1208,1,198921988450.000000,0.13215400,1.11250800,1.06887400
2025-12-31,2026-02-27,2026-03-02,annual,Consumer Staples,470,1,57743582981.000000,0.03836200,0.96055300,0.95048900
2025-12-31,2026-02-27,2026-03-02,annual,Energy,172,1,42406724401.000000,0.02817300,0.92720900,0.90418600
2025-12-31,2026-02-27,2026-03-02,annual,Financials,958,1,253592209658.000000,0.16847400,1.05783900,1.03940500
2025-12-31,2026-02-27,2026-03-02,annual,Health Care,669,1,139516303759.000000,0.09268800,1.02781800,1.00083700
2025-12-31,2026-02-27,2026-03-02,annual,Industrials,1397,1,190665287217.000000,0.12666900,1.14939200,1.11796700
2025-12-31,2026-02-27,2026-03-02,annual,Materials,557,1,51022401693.000000,0.03389700,1.10858200,1.08263900
2025-12-31,2026-02-27,2026-03-02,annual,Real Estate,508,1,63483893546.000000,0.04217600,1.51100400,1.49895700
2025-12-31,2026-02-27,2026-03-02,annual,Technology,850,1,427983102269.000000,0.28433100,1.12105900,1.06958800
2025-12-31,2026-02-27,2026-03-02,annual,Utilities,232,1,35881157574.000000,0.02383800,0.90612100,0.90512900
