instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-09-28,684.5500,764.8900,673.5000,754.5000,18.7650,120233800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-10-31,759.0500,774.3800,669.7000,680.2976,16.9195,143452800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-11-30,679.5000,699.2200,636.0000,698.3700,17.3690,93264000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-12-31,702.2400,738.2800,682.3301,707.3800,17.5931,83306700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-01-31,719.4200,760.9500,695.5200,755.6900,18.7946,104704600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-02-28,758.2000,808.9700,758.1000,801.2000,19.9265,92587100,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-03-28,797.8000,844.0000,793.3000,794.1880,19.7521,85011800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-04-30,795.0100,827.6400,761.2601,824.5700,20.5077,106996300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-05-31,823.2600,920.6000,816.3600,871.2180,21.6679,98734600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-06-28,873.0000,910.8400,847.2200,880.3700,21.8955,97063000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-07-31,886.4500,928.0000,875.6100,887.7500,22.0790,102387300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-08-30,895.0000,909.7090,845.5600,846.9000,21.0631,66906000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-09-30,854.3600,905.9900,853.9500,875.9100,21.7846,66180000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-10-31,880.2500,1041.5200,842.9800,1030.5800,25.6313,110337300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-11-29,1031.7900,1068.0000,1005.0000,1059.5900,26.3528,52459700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2013-12-31,1063.5100,1121.0000,1049.0200,1120.7100,27.8729,67617600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-01-31,1115.4600,1186.5400,1082.2700,1180.9700,29.3716,108913300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-02-28,1179.2000,1228.8800,1128.0200,1215.6500,30.2342,81010500,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-03-31,1206.7500,1226.9900,1102.1000,1114.5100,27.7187,87224100,0.0000,
